Address,General_Plan_Designation,Latitude,Longitude,,,
1641-1645 Lincoln Blvd.,Mixed Use Boulevard,34.0164996869319,-118.487733449774,,,
500 Broadway,Downtown Core,34.0157831717616,-118.492564695243,,,
1840 17th St,Low Density Housing,34.0201827651534,-118.47573999892,,,
423-429 Ocean Avenue,High Density Housing,34.0254514912042,-118.512158152147,,,
1437-1443 Lincoln Boulevard,Mixed Use Boulevard,34.0188866664863,-118.490141380377,,,
601 Wilshire Boulevard,Mixed Use Boulevard,34.0207237006556,-118.496456474827,,,
2901 Santa Monica Boulevard,,34.0356620086841,-118.471521808091,,,
1325 6th Street,Downtown Core,34.0190236418043,-118.494374831816,,,
1613-1637 Lincoln Boulevard,,34.016749136595,-118.488029899608,,,
1112 Pico Blvd,High Density Housing,34.0140724451412,-118.479299951702,,,
1560 Lincoln Blvd.,Mixed Use Boulevard,34.0169110233546,-118.48889030687,,,
1601 Lincoln Blvd.,,34.0168670794522,-118.48817012818,,,
802 Ashland Ave / 2919 Lincoln Blvd,Low Density Multiple Residential,34.0047991276525,-118.473485374233,,,
2930 Colorado Ave,Mixed Use Creative,34.0327492,-118.4668519,,,
1949 17th St,Low Density Housing,34.0192268545699,-118.474344195094,,,
1626 Lincoln Blvd,Downtown Core,34.0162151320602,-118.487675940728,,,
3008 Santa Monica Blvd,MUBL,34.0363452283513,-118.470387360348,,,
2323 28th St,Low Density Residential,34.0227527,-118.4587479,,,
1319 Centinela Avenue,Low Density Residential,34.0394219,-118.4691673,,,
1541 Franklin Street,Low Density Residential,34.0358609,-118.4657779,,,
3214 Highland Avenue,Ocean Park Low Density Residential,34.0007620668826,-118.474238640203,,,
0 Monterey Rd ,"Open Space, Parkland",37.19329,-121.713739,,,
4094 Hamilton Av ,Urban Residential,37.2935122,-121.9744179,,,
278 N 2nd St ,Downtown,37.3407869,-121.8922723,,,
2180 The Alameda ,Neighborhood Commercial,37.3446027,-121.9312303,,,
1695 Alum Rock Av ,Urban Village,37.3527911,-121.8561271,,,
195 Julian ,Downtown,37.3425943947201,-121.889730022015,,,
180 W St James St,Downtown,37.3374856,-121.8954788,,,
129 W Julian St ,Downtown,37.3397875,-121.8959346,,,
190 W Julian St ,Downtown,37.3388632,-121.896743,,,
0 Terraine St ,Downtown,37.339721,-121.897167,,,
214 North 1st Street,Downtown,37.3393185138404,-121.892801085098,,,
66 North 1st Street,Downtown,37.3372376,-121.8909264,,,
171 Post St.,Downtown,37.334086208423,-121.89267436437,,,
598 S. 1st Street ,Downtown,37.3469493,-121.8981603,,,
"323 Terraine 
201 W Julian",Downtown,37.339140399868,-121.897435189835,,,
45 N. San Pedro,Downtown,37.3356636,-121.8939381,,,
341 Delmas Av,Downtown,37.3267023,-121.8954322,,,
455 S 1st,Downtown,37.3290077,-121.8856412,,,
73 N 6th St ,Downtown,37.3396107,-121.8862989,,,
80 E San Carlos St ,Downtown,37.3320908,-121.8853063,,,
860 W San Carlos,Transit Residential,37.3230311,-121.9068204,,,
3810 Dove Hill Rd ,"Rural Residential
Residential Neighborhood",37.2937777,-121.8089733,,,
9659 Tract ,Residential Neighborhood,37.281523,-121.823108,,,
5560 Lexington Ave,Urban Village,37.252217,-121.799147,,,
1733 North 1st St,Urban Village,37.3680433,-121.9149745,,,
0 Charlotte Dr ,Urban Village,37.243376,-121.798378,,,
800 W San Carlos,,37.323660514602,-121.905518389525,,,
"505 Lincoln
515 Lincoln

",Transit Residential,37.319282,-121.909548,,,
9696 Tract ,Neighborhood Commercial,37.270944,-121.937365,,,
1855 Dobbin ,Urban Village,37.3667568,-121.865256,,,
